comparator,comparison_error,comparison_logs,database,dialects,generated_error,generated_sql,id,job_id,score
exact_match,,,db_blog,['sqlite'],,"SELECT T1.user_id, COUNT(T2.follower_id) FROM tbl_users AS T1 LEFT JOIN tbl_followers AS T2 ON T1.user_id = T2.following_id GROUP BY T1.user_id",16,07d3798a-d3a9-4020-a206-8711d7c22e6a,0.0
set_match,,,db_blog,['sqlite'],,"SELECT T1.user_id, COUNT(T2.follower_id) FROM tbl_users AS T1 LEFT JOIN tbl_followers AS T2 ON T1.user_id = T2.following_id GROUP BY T1.user_id",16,07d3798a-d3a9-4020-a206-8711d7c22e6a,100.0
llmrater,,Skipped. Exact Match was found.,db_blog,['sqlite'],,"SELECT T1.user_id, COUNT(T2.follower_id) FROM tbl_users AS T1 LEFT JOIN tbl_followers AS T2 ON T1.user_id = T2.following_id GROUP BY T1.user_id",16,07d3798a-d3a9-4020-a206-8711d7c22e6a,100.0
returned_sql,,,db_blog,['sqlite'],,"SELECT T1.user_id, COUNT(T2.follower_id) FROM tbl_users AS T1 LEFT JOIN tbl_followers AS T2 ON T1.user_id = T2.following_id GROUP BY T1.user_id",16,07d3798a-d3a9-4020-a206-8711d7c22e6a,100.0
executable_sql,,Generated query was executable.,db_blog,['sqlite'],,"SELECT T1.user_id, COUNT(T2.follower_id) FROM tbl_users AS T1 LEFT JOIN tbl_followers AS T2 ON T1.user_id = T2.following_id GROUP BY T1.user_id",16,07d3798a-d3a9-4020-a206-8711d7c22e6a,100.0
exact_match,,,db_blog,['sqlite'],,"SELECT
T2.""name"",
CAST(COUNT(T1.""post_id"") AS REAL) / COUNT(DISTINCT SUBSTR(T1.""created_at"", 1, 10))
FROM tbl_posts AS T1
INNER JOIN tbl_categories AS T2
ON T1.""category_id"" = T2.""category_id""
GROUP BY
T2.""name"";",23,07d3798a-d3a9-4020-a206-8711d7c22e6a,0.0
set_match,,,db_blog,['sqlite'],,"SELECT
T2.""name"",
CAST(COUNT(T1.""post_id"") AS REAL) / COUNT(DISTINCT SUBSTR(T1.""created_at"", 1, 10))
FROM tbl_posts AS T1
INNER JOIN tbl_categories AS T2
ON T1.""category_id"" = T2.""category_id""
GROUP BY
T2.""name"";",23,07d3798a-d3a9-4020-a206-8711d7c22e6a,0.0
exact_match,,,db_blog,['sqlite'],,"SELECT ""report_reason"", CAST(AVG(strftime('%s', ""resolution_timestamp"") - strftime('%s', ""report_timestamp"")) AS REAL) / 60 FROM ""tbl_reports"" WHERE ""is_resolved"" = 1 GROUP BY ""report_reason"" ORDER BY COUNT(*) DESC LIMIT 1",19,07d3798a-d3a9-4020-a206-8711d7c22e6a,0.0
set_match,,,db_blog,['sqlite'],,"SELECT ""report_reason"", CAST(AVG(strftime('%s', ""resolution_timestamp"") - strftime('%s', ""report_timestamp"")) AS REAL) / 60 FROM ""tbl_reports"" WHERE ""is_resolved"" = 1 GROUP BY ""report_reason"" ORDER BY COUNT(*) DESC LIMIT 1",19,07d3798a-d3a9-4020-a206-8711d7c22e6a,0.0
exact_match,,,db_blog,['sqlite'],,"SELECT T1.user_id, T1.username, T2.url FROM tbl_users AS T1 INNER JOIN tbl_media AS T2 ON T1.user_id = T2.uploader_id INNER JOIN (SELECT uploader_id, MAX(upload_date) AS max_date FROM tbl_media GROUP BY uploader_id) AS T3 ON T2.uploader_id = T3.uploader_id AND T2.upload_date = T3.max_date",156,07d3798a-d3a9-4020-a206-8711d7c22e6a,0.0
